"idfornecedor";"nome";"telefone";"email";"cnpj"
1;"Distribuidora Alimentos BR";"(11) 98765-4321";"contato@alimentosbr.com";"01.234.567/0001-89"
2;"Laticínios Do Campo S.A.";"(19) 91234-5678";"vendas@docampo.com";"02.345.678/0001-00"
3;"Frigorífico Boi Forte";"(21) 99876-5432";"comercial@boiforte.com";"03.456.789/0001-11"
4;"Grãos Essenciais Ltda";"(31) 91122-3344";"pedidos@graosessenciais.com";"04.567.890/0001-22"
5;"Engarrafadora Aurora";"(41) 95566-7788";"distribuidora@aurora.com";"05.678.901/0001-33"
6;"Mundo Gelado Distribuição";"(51) 93344-5566";"frios@mundogelado.com";"06.789.012/0001-44"
7;"Cosméticos e Cia";"(61) 97788-9900";"higiene@cosmeticosecia.com";"07.890.123/0001-55"
8;"Química Limpeza Total";"(71) 92233-4455";"limpeza@quimicatotal.com";"08.901.234/0001-66"
9;"Panificadora Gourmet Fornecimento";"(81) 96677-8899";"gourmet@panificadora.com";"09.012.345/0001-77"
10;"Doces Delícia Atacado";"(91) 91011-2131";"atacado@docesdelicia.com";"10.123.456/0001-88"
11;"Alimentos Frescos SC";"(48) 91213-1415";"fresh@alimentossc.com";"11.234.567/0001-99"
12;"Queijos e Vinhos Sul";"(54) 91516-1718";"queijosevinhos@sul.com";"12.345.678/0001-01"
13;"Açougue Central";"(62) 91819-2021";"contato@acouguecentral.com";"13.456.789/0001-12"
14;"Cereais Matinais BR";"(85) 92122-2324";"vendas@cereaisbr.com";"14.567.890/0001-23"
15;"Sucos Naturais da Serra";"(27) 92425-2627";"pedidos@sucosnaturais.com";"15.678.901/0001-34"
16;"Polpas e Sorvetes RJ";"(24) 92728-2930";"comercial@polpasrj.com";"16.789.012/0001-45"
17;"Sabonetes Finos SP";"(12) 93031-3233";"higiene@sabonetesfinos.com";"17.890.123/0001-56"
18;"Desinfetantes Potência";"(13) 93334-3536";"vendas@desinfetantes.com";"18.901.234/0001-67"
19;"Massas e Pães Gourmet";"(14) 93637-3839";"fornecedor@massasepaes.com";"19.012.345/0001-78"
20;"Chocolateira Pura Tentação";"(15) 93940-4142";"contato@puratentacao.com";"20.123.456/0001-80"
21;"Legumes Frescos MG";"(32) 94243-4445";"pedidos@legumesmg.com";"21.234.567/0001-91"
22;"Derivados de Leite Sul";"(47) 94546-4748";"vendas@derivadosdeleite.com";"22.345.678/0001-02"
23;"Peixes e Frutos do Mar";"(84) 94849-5051";"frutosdomar@peixes.com";"23.456.789/0001-13"
24;"Biscoitos e Bolachas SA";"(82) 95152-5354";"biscoitos@bolachas.com";"24.567.890/0001-24"
25;"Água Mineral da Fonte";"(67) 95455-5657";"aguamineral@fonte.com";"25.678.901/0001-35"
26;"Pizzas Congeladas Top";"(79) 95758-5960";"top@pizzascongeladas.com";"26.789.012/0001-46"
27;"Cremes e Loções Nordeste";"(92) 96061-6263";"higiene@cremeslocoes.com";"27.890.123/0001-57"
28;"Detergentes Ecológicos";"(93) 96364-6566";"vendas@ecologicos.com";"28.901.234/0001-68"
29;"Farinhas Especiais Centro";"(65) 96667-6869";"farinhas@especiais.com";"29.012.345/0001-79"
30;"Balas e Chicletes Vitoria";"(69) 96970-7172";"contato@balasechicletes.com";"30.123.456/0001-80"
31;"Verduras Orgânicas Sul";"(49) 97273-7475";"organicas@verduras.com";"31.234.567/0001-91"
32;"Iogurtes e Sobremesas";"(45) 97576-7778";"sobremesas@iogurtes.com";"32.345.678/0001-02"
33;"Aves Premium";"(83) 97879-8081";"premium@aves.com";"33.456.789/0001-13"
34;"Massas Secas Itália";"(17) 98182-8384";"massas@italia.com";"34.567.890/0001-24"
35;"Cervejas Artesanais";"(16) 98485-8687";"cervejas@artesanais.com";"35.678.901/0001-35"
36;"Sorvetes Cremosos";"(18) 98788-8990";"cremosos@sorvetes.com";"36.789.012/0001-46"
37;"Fraldas e Lenços Baby";"(19) 99091-9293";"baby@fraldas.com";"37.890.123/0001-57"
38;"Alvejantes Profissionais";"(22) 99394-9596";"vendas@alvejantes.com";"38.901.234/0001-68"
39;"Bolos Prontos Delícia";"(28) 99697-9899";"bolos@prontos.com";"39.012.345/0001-79"
40;"Chocolates Finos";"(63) 99900-0102";"chocolates@finos.com";"40.123.456/0001-80"
41;"Frutas Exóticas Norte";"(95) 90203-0405";"exoticas@frutas.com";"41.234.567/0001-91"
42;"Manteigas e Margarinas";"(96) 90506-0708";"manteigas@margarinas.com";"42.345.678/0001-02"
43;"Embutidos Nobres";"(97) 90809-1011";"nobres@embutidos.com";"43.456.789/0001-13"
44;"Açúcares e Farinhas";"(98) 91112-1314";"pedidos@acucares.com";"44.567.890/0001-24"
45;"Refrigerantes Refrescantes";"(99) 91415-1617";"refri@refrescantes.com";"45.678.901/0001-35"
46;"Sobremesas Congeladas";"(68) 91718-1920";"sobremesas@congeladas.com";"46.789.012/0001-46"
47;"Escovas e Pastas Dentais";"(66) 92021-2223";"higiene@escovas.com";"47.890.123/0001-57"
48;"Sacos de Lixo Resistentes";"(64) 92324-2526";"lixo@resistentes.com";"48.901.234/0001-68"
49;"Biscoitos Salgados SP";"(61) 92627-2829";"salgados@biscoitos.com";"49.012.345/0001-79"
50;"Chicletes e Balas Zero";"(60) 92930-3132";"zero@chicletes.com";"50.123.456/0001-80"
